ID,ZONE_NAME,NATURE,STATUS,ORIGINAL_LOCATION,CITY,matched_muni,admin3_pcode,province_name,admin2_pcode,region_name,admin1_pcode
422,Wynsum Corporate Plaza IT Building ,IT Center,Operating,"Along Emerald Avenue, Ortigas Center, Pasig City",Pasig City,City of Pasig,PH137403000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
423,Xentromall Batangas,IT Center,Operating,"Diversion Road, Alangilan, Batangas City",Alangilan,Batangas City,PH041005000,Batangas,PH041000000,Region IV-A,PH040000000
424,YTMI Realty Special Economic Zone,Manufacturing,Operating,"Brgy. Makiling, Calamba City,  Laguna",Calamba City,City of Calamba,PH043405000,Laguna,PH043400000,Region IV-A,PH040000000
425,YY Star DAS Information Technology Center ,IT Center,Operating,"Barangay Bagacay, Dumaguete City, Negros Oriental",Dumaguete City,Dumaguete City,PH074610000,Negros Oriental,PH074600000,Region VII,PH070000000
426,Zuellig Building  ,IT Center,Operating,"Paseo de Roxas corner Makati Avenue, Makati City",Makati City,City of Makati,PH137602000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
427,8 Rockwell,IT Center,Not Yet Operating,"Block 9, Rockwell Center, Makati City",Makati City,City of Makati,PH137602000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
428,A57 Techno Park,IT Park,Not Yet Operating,"Barangay Don Martin Marundan, Mati City, Davao Oriental ",Mati City,City of Mati,PH112509000,Davao Oriental,PH112500000,Region XI,PH110000000
429,Abanao Square,IT Center,Not Yet Operating," Abanao corner Zandueta Streets, Baguio City",Baguio City,Baguio City,PH141102000,Benguet,PH141100000,Cordillera Administrative Region,PH140000000
430,Abra Agro-Industrial Center,Manufacturing,Not Yet Operating,"Gadanni, Tayum, Abra",Tayum,Tayum,PH140124000,Abra,PH140100000,Cordillera Administrative Region,PH140000000
431,ACI IT Business Centre,IT Center,Not Yet Operating,"J. P. Laurel corner Inigo Streets, Bajada Highway, Davao City ",Davao City,Davao City,PH112402000,Davao del Sur,PH112400000,Region XI,PH110000000
432,Aeon Towers   ,IT Center,Not Yet Operating,"J.P. Laurel Avenue, Barangay 20-B, Bajada, Davao City",Davao City,Davao City,PH112402000,Davao del Sur,PH112400000,Region XI,PH110000000
433,AIU Centre  ,IT Center,Not Yet Operating,"Lacson Street, Mandalagan, Bacolod City ",Bacolod City,Bacolod City,PH064501000,Negros Occidental,PH064500000,Region VI,PH060000000
434,Amigo Mall   ,IT Center,Not Yet Operating,"Corner Iznart and Delgado Streets, Iloilo City",Iloilo City,Iloilo City,PH063022000,Iloilo,PH063000000,Region VI,PH060000000
435,Amihan Woodlands Township,Manufacturing,Not Yet Operating,"Daja Daku & Taglawigan, San Isidro & Jubay, Calubian, Leyte",Calubian,Calubian,PH083713000,Leyte,PH083700000,Region VIII,PH080000000
436,ArcoVia City,IT Park,Not Yet Operating,"E. Rodriguez Jr. Avenue, Ugong, Pasig City",Pasig City,City of Pasig,PH137403000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
437,Aurora Tower,IT Center,Not Yet Operating,"Aurora Boulevard cor. General Aguinaldo Avenue, Araneta Center, Cubao, Quezon City",Cubao,Quezon City,PH137404000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
438,Ayala Bacolod Capitol Corporate Center,IT Center,Not Yet Operating,"North Capitol Road corner Aguinaldo Street, Barangay 4, Bacolod City",Bacolod City,Bacolod City,PH064501000,Negros Occidental,PH064500000,Region VI,PH060000000
439,Ayala de Zamboanga Industrial Park ,Manufacturing,Not Yet Operating,"Ayala, Zamboanga City",Zamboanga City,Zamboanga City,PH097332000,Zamboanga del Sur,PH097300000,Region IX,PH090000000
440,Bacolod IT Park ,IT Park,Not Yet Operating,"Barangay Estefania, Bacolod City",Bacolod City,Bacolod City,PH064501000,Negros Occidental,PH064500000,Region VI,PH060000000
441,Bacolod-Silay Economic Zone and Technopark,Manufacturing,Not Yet Operating,"Barangay Bagtic, Silay City, Negros Occidental",Silay City,Silay City,PH064526000,Negros Occidental,PH064500000,Region VI,PH060000000
442,"BatStateU Knowledge, Innovation and Science Technology Park",IT Park,Not Yet Operating,"Barangay Alangilan, Batangas City, Batangas",Batangas City,Batangas City,PH041005000,Batangas,PH041000000,Region IV-A,PH040000000
443,Bayawan City Information Technology Park,IT Park,Not Yet Operating,"Barangay Villareal, Bayawan City, Negros Oriental",Bayawan City,City of Bayawan,PH074606000,Negros Oriental,PH074600000,Region VII,PH070000000
444,Bench City Center,IT Center,Not Yet Operating,"Lot 2 and 3, Block 5, City Center, North Bonifacio Global City, Taguig City ",Taguig City,Taguig City,PH137607000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
445,BEN-LOR I.T. Center,IT Center,Not Yet Operating,"Quezon Avenue, Barangay Paligsahan, Quezon City ",Barangay Paligsahan,Quezon City,PH137404000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
446,Bonifacio Business Park,IT Park,Not Yet Operating,"F. Cabahug Street, Barangay Kasambagan, Cebu City ",Barangay Kasambagan,Cebu City,PH072217000,Cebu,PH072200000,Region VII,PH070000000
447,Camarines Sur Tourism Park,Tourism,Not Yet Operating,"Capitol Complex, Cadlan, Pili and Maycatmon, Milaor, Camarines Sur",Milaor,Milaor,PH051721000,Camarines Sur,PH051700000,Region V,PH050000000
448,Cash and Carry Mall ,IT Center,Not Yet Operating,"South Superhighway Corner Emilia & Filmore Streets, Makati City",Makati City,City of Makati,PH137602000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
449,Cavite Eco-Industrial Estate,Manufacturing,Not Yet Operating,"Pasong Kawayan II, Gen. Trias, Cavite",Gen. Trias,City of General Trias,PH042108000,Cavite,PH042100000,Region IV-A,PH040000000
450,CB Mall IT Center  ,IT Center,Not Yet Operating,"Mc Arthur Highway, Nancayasan, Urdaneta City, Pangasinan",Urdaneta City,City of Urdaneta,PH015546000,Pangasinan,PH015500000,Region I,PH010000000
451,CBC Asia Technozone,IT Center,Not Yet Operating,"Emilio Aguinaldo Highway, Barangay Talaba VII, Bacoor City, Cavite ",Bacoor City,Bacoor City,PH042103000,Cavite,PH042100000,Region IV-A,PH040000000
452,CIIF Agro-Industrial Park – Legazpi ,Agro-Industrial,Not Yet Operating,"Barangay 47, Peñaranda Extension, Legaspi City, Albay ",Legaspi City,Legazpi City,PH050506000,Albay,PH050500000,Region V,PH050000000
453,Circuit Corporate Center 1 ,IT Center,Not Yet Operating,"Circuit Makati (formerly known as Sta. Ana Racetrack), Barangay Carmona, Makati City",Makati City,City of Makati,PH137602000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
454,Circuit Corporate Center 2 ,IT Center,Not Yet Operating,"Circuit Makati (formerly known as Sta. Ana Racetrack), Barangay Carmona, Makati City",Makati City,City of Makati,PH137602000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
455,Connecticut Arcade ,IT Center,Not Yet Operating,"Connecticut Street, Greenhills Shopping Center, San Juan City",San Juan City,San Juan,PH140122000,Abra,PH140100000,Cordillera Administrative Region,PH140000000
456,Convergys IT Building  ,IT Center,Not Yet Operating,"Ayala Avenue corner Salcedo Street, Makati City",Makati City,City of Makati,PH137602000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
457,CyberBayan IT Park,IT Park,Not Yet Operating,"Sumulong Hi-way, Barrio Sto. Niño, Marikina City",Marikina City,City of Marikina,PH137402000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
458,Cybergate Galleria,IT Center,Not Yet Operating,"General Maxillom Avenue, Cebu City",Cebu City,Cebu City,PH072217000,Cebu,PH072200000,Region VII,PH070000000
459,DASOLand: A Family Adventure and Leisure Park,Tourism,Not Yet Operating,"Barangay San Vicente, Dasol, Pangasinan",Dasol,Dasol,PH015519000,Pangasinan,PH015500000,Region I,PH010000000
460,Davao del Sur Industrial Economic Zone,Manufacturing,Not Yet Operating,"Along Diversion Road, Barangay Cogon, Digos City, Davao del Sur ",Digos City,City of Digos,PH112403000,Davao del Sur,PH112400000,Region XI,PH110000000
461,Davao Lioc Kui Fraternity Building,IT Center,Not Yet Operating,"16 Sobrecarey Street corner Lapu-lapu Street, Davao City",Davao City,Davao City,PH112402000,Davao del Sur,PH112400000,Region XI,PH110000000
462,DG3 I. T. Center ,IT Center,Not Yet Operating,"72 N. Escario St. corner F. Ramos Extension, Capitol Site, Cebu City",Capitol Site,Cebu City,PH072217000,Cebu,PH072200000,Region VII,PH070000000
463,DRRC Information Technology Park,IT Park,Not Yet Operating,"K44-45 Mac Arthur Highway, Barangay Longos, Malolos City, Bulacan ",Malolos City,City of Malolos,PH031410000,Bulacan,PH031400000,Region III,PH030000000
464,East Cyber Gate,IT Center,Not Yet Operating,"169 EDSA, Manduyong City",Manduyong City,City of Mandaluyong,PH137401000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
465,East Gate Business Center,IT Center,Not Yet Operating,"Barangay Mayamot, Marcos Highway, Antipolo City",Antipolo City,City of Antipolo,PH045802000,Rizal,PH045800000,Region IV-A,PH040000000
466,Eastern Visayas Regional Growth Center,Manufacturing,Not Yet Operating,"Tagpuro, San Isidro, New Kawayan, Sto. Niño, Tacloban City, Leyte",Tacloban City,Tacloban City,PH083747000,Leyte,PH083700000,Region VIII,PH080000000
467,ECCO 4 Building,IT Center,Not Yet Operating,"Residence  Section ""A"", Military Cut-Off, Baguio City",Baguio City,Baguio City,PH141102000,Benguet,PH141100000,Cordillera Administrative Region,PH140000000
468,Ecocentrum BPO/IT Park,IT Park,Not Yet Operating,"Halang, Biñan City, Laguna",Biñan City,City of Biñan,PH043403000,Laguna,PH043400000,Region IV-A,PH040000000
469,"Eco-Tourism of Cabatuan, Iloilo",Tourism,Not Yet Operating,"Cabatuan, Iloilo",Iloilo,Iloilo City,PH063022000,Iloilo,PH063000000,Region VI,PH060000000
470,EDSA Grand Residences  ,IT Center,Not Yet Operating,"EDSA corner Corregidor Street, Quezon City",Quezon City,Quezon City,PH137404000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
471,ePLDT Ventus Jupiter Building,IT Center,Not Yet Operating,"No. 222-224 Nicanor Garcia Street corner Jupiter Street, Makati City",Makati City,City of Makati,PH137602000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
472,Eugenio Lopez Jr. Communication Center  ,IT Center,Not Yet Operating,"Mother Ignacia Avenue cor. Sgt. Esguerra St., Diliman. Quezon  City",Diliman. Quezon  City,Quezon City,PH137404000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
473,Federated IT Park ,IT Park,Not Yet Operating,"Sacsac, Bacong, Negros Oriental",Bacong,Bacong,PH074603000,Negros Oriental,PH074600000,Region VII,PH070000000
474,Federated IT Park II,IT Park,Not Yet Operating,"Barangay Looc, Sibulan, Negros Oriental",Sibulan,Sibulan,PH074620000,Negros Oriental,PH074600000,Region VII,PH070000000
475,Felcris Centrale IT Park,IT Park,Not Yet Operating,"Quimpo Boulevard, Barangay 40-D, Davao City",Davao City,Davao City,PH112402000,Davao del Sur,PH112400000,Region XI,PH110000000
476,Fil-Estate Industrial Park,Manufacturing,Not Yet Operating,"Trece Martirez & Tanza, Cavite",Cavite,Cavite City,PH042105000,Cavite,PH042100000,Region IV-A,PH040000000
477,Filinvest EDSA Building  ,IT Center,Not Yet Operating,"167 EDSA, Mandaluyong City",Mandaluyong City,City of Mandaluyong,PH137401000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
478,First Batangas Industrial Park,Manufacturing,Not Yet Operating,"Mang-hinao & Balayong, Bauan, Batangas",Bauan,Bauan,PH041006000,Batangas,PH041000000,Region IV-A,PH040000000
479,First Bulacan Business Park,IT Park,Not Yet Operating,"Barangays Santor and Balite, Malolos City, Bulacan",Malolos City,City of Malolos,PH031410000,Bulacan,PH031400000,Region III,PH030000000
480,First Bulacan IT Park ,IT Park,Not Yet Operating,"McArthur Highway, Abangan Norte, Marilao, Bulacan",Marilao,Marilao,PH031411000,Bulacan,PH031400000,Region III,PH030000000
481,First Philippine Industrial Park III-Special Economic Zone ,Manufacturing,Not Yet Operating,"Barangays Patay Bata and Pantay Matanda, Tanauan City, Batangas ",Tanauan City,Tanauan,PH083748000,Leyte,PH083700000,Region VIII,PH080000000
482,Fishermall     ,IT Center,Not Yet Operating,"Quezon Avenue corner Roosevelt Avenue, Barangay Sta. Cruz, Quezon City",Barangay Sta. Cruz,Quezon City,PH137404000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
483,Foodport Processing Zone,Agro-Industrial,Not Yet Operating,"Barangay Tambler, General Santos City",General Santos City,General Santos City,PH126303000,South Cotabato,PH126300000,Region XII,PH120000000
484,Garden Plaza   ,IT Center,Not Yet Operating,"Garden Villas 3, Barangay Ibaba, Sta. Rosa City, Laguna",Sta. Rosa City,Santa Rosa,PH034928000,Nueva Ecija,PH034900000,Region III,PH030000000
485,Georgetown Cybermall IT Building  ,IT Center,Not Yet Operating,"R.N. Pelaez Boulevard, Kauswagan, Cagayan de Oro City",Kauswagan,Kauswagan,PH103507000,Lanao del Norte,PH103500000,Region X,PH100000000
486,Gernarine Information Technology Center ,IT Center,Not Yet Operating,"Alternate Road, Legaspi City, Albay",Legaspi City,Legazpi City,PH050506000,Albay,PH050500000,Region V,PH050000000
487,GGVPI IT Zone ,IT Center,Not Yet Operating,"168 Ouano Avenue, Mandaue Reclamation Area, Mandaue City, Cebu",Mandaue City,Mandaue City,PH072230000,Cebu,PH072200000,Region VII,PH070000000
488,Global Industrial/Maritime Complex,Manufacturing,Not Yet Operating,"Larap, Jose Panganiban, Camarines Norte",Camarines Norte,Iba,PH037105000,Zambales,PH037100000,Region III,PH030000000
489,Goodland I.T. Center ,IT Center,Not Yet Operating,"377 Sen. Gil Puyat Avenue, Makati City",Makati City,City of Makati,PH137602000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
490,Grand Cenia Hotel and Residences  ,IT Center,Not Yet Operating,"Archbishop Reyes Avenue corner Apitong Street, Barangay Camputhaw, Cebu City",Barangay Camputhaw,Cebu City,PH072217000,Cebu,PH072200000,Region VII,PH070000000
491,Grand Tower Cebu,IT Center,Not Yet Operating,"M. Logarta Avenue corner Kaoshiong Street, North Reclamation Area, Cebu City",North Reclamation Area,Mandaue City,PH072230000,Cebu,PH072200000,Region VII,PH070000000
492,GST Iloilo Corporate Center,IT Center,Not Yet Operating,"Quezon Street, Barangay Sampaguita, Iloilo City ",Barangay Sampaguita,Quezon City,PH137404000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
493,GT Times Square Cebu ,IT Center,Not Yet Operating,"J. Llorente corner Don Mariano Cui Street, Capitol Site, Cebu City",Capitol Site,Cebu City,PH072217000,Cebu,PH072200000,Region VII,PH070000000
494,HANN Lux Lifestyle Resort,Manufacturing,Not Yet Operating,"Clark Special Economic Zone, Barangay Aranguren, Capas, Tarlac ",Capas,Capas,PH036904000,Tarlac,PH036900000,Region III,PH030000000
495,Hi Point Information Technology Tower 1 ,IT Center,Not Yet Operating,"Omapad Road, Opao, Mandaue City ",Mandaue City,Mandaue City,PH072230000,Cebu,PH072200000,Region VII,PH070000000
496,Hi Point Information Technology Tower 2  ,IT Center,Not Yet Operating,"Omapad Road, Opao, Mandaue City ",Mandaue City,Mandaue City,PH072230000,Cebu,PH072200000,Region VII,PH070000000
497,Hi Point Information Technology Tower 3  ,IT Center,Not Yet Operating,"Omapad Road, Opao, Mandaue City ",Mandaue City,Mandaue City,PH072230000,Cebu,PH072200000,Region VII,PH070000000
498,Island Cove Tourism Economic Zone ,Tourism,Not Yet Operating,"Covelandia Road, Binakayan, Kawit, Cavite",Kawit,Kawit,PH042111000,Cavite,PH042100000,Region IV-A,PH040000000
499,ITC Ecozone,Agro-Industrial,Not Yet Operating,"Purok 2, Lumbocan, Butuan City",Butuan City,Butuan City,PH160202000,Agusan del Norte,PH160200000,Region XIII,PH160000000
500,Jackman Plaza - I.T. Center  ,IT Center,Not Yet Operating,"EDSA, Muñoz, Quezon City",Muñoz,Quezon City,PH137404000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
501,JEG Tower,IT Center,Not Yet Operating,"Archbishop Reyes corner Acacia Streets, Barangay Camputhaw, Cebu City",Barangay Camputhaw,Cebu City,PH072217000,Cebu,PH072200000,Region VII,PH070000000
502,Juan Luna Building  ,IT Center,Not Yet Operating,"120 Juan Luna St., Binondo, Manila",Manila,Binondo,PH133902000,"NCR, City of Manila, First District",PH133900000,National Capital Region,PH130000000
503,Kayumanggi Center ,IT Center,Not Yet Operating,"Commonwealth and Luzon Avenue, Quezon City",Quezon City,Quezon City,PH137404000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
504,Kelly Special Economic Zone,Manufacturing,Not Yet Operating,"Kelly, Tuding & Gumatdang, Itogon, Benguet",Itogon,Itogon,PH141106000,Benguet,PH141100000,Cordillera Administrative Region,PH140000000
505,LB Centtro   ,IT Center,Not Yet Operating," Barangay Batong Malake, Los Baños, Laguna",Los Baños,Los Baños,PH043411000,Laguna,PH043400000,Region IV-A,PH040000000
506,Legaspi City Special Economic Zone,Manufacturing,Not Yet Operating,"Sitio Caridad, Banquerohan, Legaspi City, Albay",Legaspi City,Legazpi City,PH050506000,Albay,PH050500000,Region V,PH050000000
507,Libran House IT Center,IT Center,Not Yet Operating,"144 Legaspi Street, Makati City",Makati City,City of Makati,PH137602000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
508,Limketkai IT Center ,IT Center,Not Yet Operating,"Lapasan, Cagayan de Oro City",Cagayan de Oro City,Cagayan de Oro City,PH104305000,Misamis Oriental,PH104300000,Region X,PH100000000
509,Lopue’s Mandalagan IT Center   ,IT Center,Not Yet Operating,"Lacson Street, Barangay Mandalangan, Bacolod City",Bacolod City,Bacolod City,PH064501000,Negros Occidental,PH064500000,Region VI,PH060000000
510,Lopue's San Sebastian  I.T. Center  ,IT Center,Not Yet Operating,"Corner Araneta and San Sebastian Streets, Bacolod City",Bacolod City,Bacolod City,PH064501000,Negros Occidental,PH064500000,Region VI,PH060000000
511,MacroAsia Cebu Special Ecozone,Manufacturing,Not Yet Operating,"Mactan Cebu International Airport, Lapu-Lapu City, Cebu",Lapu-Lapu City,Lapu-Lapu City,PH072226000,Cebu,PH072200000,Region VII,PH070000000
512,Manila COD IT Building  ,IT Center,Not Yet Operating,"General Romulo Street, Araneta Center, Cubao, Quezon City",Cubao,Quezon City,PH137404000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
513,Marina Town Dumaguete,IT Center,Not Yet Operating,"Flores Avenue, Barangay Piapi, Dumaguete City, Negros Oriental",Dumaguete City,Dumaguete City,PH074610000,Negros Oriental,PH074600000,Region VII,PH070000000
514,MDi Corporate Center  ,IT Center,Not Yet Operating,"10th Avenue corner 39th Street, Bonifacio Global City, Taguig City",Taguig City,Taguig City,PH137607000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
515,Megacenter IT Building,IT Center,Not Yet Operating,"General Tinio and Melencio Streets, Cabanatuan City",Cabanatuan City,Cabanatuan City,PH034903000,Nueva Ecija,PH034900000,Region III,PH030000000
516,Metro IT Park,IT Park,Not Yet Operating,"Metrobank Avenue, Metropolitan Park, Central Park 1-A, San Rafael, Pasay City",Pasay City,Pasay City,PH137605000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
517,Metropolis Star ,IT Center,Not Yet Operating,"South Super Highway, Alabang, Muntinlupa City",Muntinlupa City,City of Muntinlupa,PH137603000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
518,Metropolitan Technological Complex ,IT Park,Not Yet Operating,"Metrobank Avenue, Metropolitan Park, Central Business Park 1-A, San Rafael, Pasay City",Pasay City,Pasay City,PH137605000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
519,Mindanao Economic Development Zone            (formerly Sarangani Economic Development Zone (Matinao)),Manufacturing,Not Yet Operating,"Matinao, Polomolok, South Cotabato",Polomolok,Polomolok,PH126312000,South Cotabato,PH126300000,Region XII,PH120000000
520,Naga City Industrial Park,Manufacturing,Not Yet Operating,"Barangay Carolina, Naga City",Naga City,Naga City,PH051724000,Camarines Sur,PH051700000,Region V,PH050000000
521,Naga City IT (Cyber) Park,IT Park,Not Yet Operating,"Felix Plazo St., Sabang, Naga City, Province of Camarines Sur",Naga City,Naga City,PH051724000,Camarines Sur,PH051700000,Region V,PH050000000
522,Nasipit Agusan del Norte Industrial Estate,Manufacturing,Not Yet Operating,"Camagong and Talisay, Nasipit, Agusan del Norte",Agusan del Norte,Nasipit,PH160209000,Agusan del Norte,PH160200000,Region XIII,PH160000000
523,New Cebu Township,Manufacturing,Not Yet Operating,"Cantao-an, Naga, Cebu",Naga,Naga City,PH051724000,Camarines Sur,PH051700000,Region V,PH050000000
524,Norkis Cyberpark,IT Park,Not Yet Operating,"A.S Fortuna Street corner V. Albano Street, Barangay Bakilid, Mandaue City",Mandaue City,Mandaue City,PH072230000,Cebu,PH072200000,Region VII,PH070000000
525,North Negros Agro-Industrial Export Processing Zone,Agro-Industrial,Not Yet Operating,"Barangay Paraiso, Sagay City, Negros Occidental",Sagay City,Sagay City,PH064523000,Negros Occidental,PH064500000,Region VI,PH060000000
526,NUVO.CITY,IT Park,Not Yet Operating,"E. Rodriguez  Jr. Avenue cor Calle Industria, Bagumbayan, Quezon City",Bagumbayan,Bagumbayan,PH126501000,Sultan Kudarat,PH126500000,Region XII,PH120000000
527,One Asia Business Center,IT Park,Not Yet Operating,"Barangay San Antonio, Biñan City, Laguna ",Biñan City,City of Biñan,PH043403000,Laguna,PH043400000,Region IV-A,PH040000000
528,Ore Central Building,IT Center,Not Yet Operating,"9th Avenue corner  31st Street, Bonifacio Global City, Fort Bonifacio, Taguig City",Taguig City,Taguig City,PH137607000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
529,Orion Corporate Center,IT Center,Not Yet Operating,"A.S. Fortuna Street corner Sacris Road, Bakilid, Mandaue City",Mandaue City,Mandaue City,PH072230000,Cebu,PH072200000,Region VII,PH070000000
530,Ororama Megacenter IT Center ,IT Center,Not Yet Operating,"Lapasan Highway, Cagayan de Oro City",Cagayan de Oro City,Cagayan de Oro City,PH104305000,Misamis Oriental,PH104300000,Region X,PH100000000
531,P & S Ecozone,Manufacturing,Not Yet Operating,"Km. 48, Mc Arthur Highway, Barrios of Iba Este, San Marcos and Palimbang, Calumpit, Bulacan",Calumpit,Calumpit,PH031407000,Bulacan,PH031400000,Region III,PH030000000
532,Park Triangle Corporate Center,IT Center,Not Yet Operating,"32nd Street corner Rizal Drive, Bonifacio Global City, Taguig City",Taguig City,Taguig City,PH137607000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
533,Paseo del Rio de Cagayan Economic Tourism Zone,Tourism,Not Yet Operating,"Macasandig, Cagayan de Oro City",Cagayan de Oro City,Cagayan de Oro City,PH104305000,Misamis Oriental,PH104300000,Region X,PH100000000
534,PCH IT Center ,IT Center,Not Yet Operating,"95 A. Bonifacio Street, Baguio City",Baguio City,Baguio City,PH141102000,Benguet,PH141100000,Cordillera Administrative Region,PH140000000
535,Philippine Int'l Air Terminals Co. SEZ,Manufacturing,Not Yet Operating,"Villamor Airbase, Pasay City",Pasay City,Pasay City,PH137605000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
536,Philnico Industrial Estate ,Manufacturing,Not Yet Operating,"Nonoc Island, Surigao del Norte",Surigao del Norte,Surigao City,PH166724000,Surigao del Norte,PH166700000,Region XIII,PH160000000
537,Philtai Central Luzon Industrial Park,Manufacturing,Not Yet Operating,"Barangays Santo Rosario and San Roque, Magalang, Pampanga",Magalang,Magalang,PH035411000,Pampanga,PH035400000,Region III,PH030000000
538,Plazuela de Iloilo ,IT Center,Not Yet Operating,"Benigno Aquino Avenue, Barangay San Rafael, Iloilo City",Barangay San Rafael,Iloilo City,PH063022000,Iloilo,PH063000000,Region VI,PH060000000
539,PLDT Garnet Building ,IT Center,Not Yet Operating,"F. Ortigas Jr. corner Garnet Road, Ortigas Center, Brgy. San Antonio, Pasig City",Pasig City,City of Pasig,PH137403000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
540,PNOC Petrochemical Industrial Estate,Manufacturing,Not Yet Operating,"Batangas Dos, Mariveles, Bataan",Mariveles,Mariveles,PH030807000,Bataan,PH030800000,Region III,PH030000000
541,Polambato-Bogo Economic Zone,Manufacturing,Not Yet Operating,"Polambato, Bogo, Cebu",Bogo,City of Bogo,PH072211000,Cebu,PH072200000,Region VII,PH070000000
542,Poro Point Special Economic Zone,Manufacturing,Not Yet Operating,"San Fernando City, La Union",La Union,San Fernando,PH175913000,Romblon,PH175900000,Region IV-B,PH170000000
543,PSMT IT Building,IT Center,Not Yet Operating,"73 Ortigas Ave. Ext., Barangay Sta. Lucia, Pasig City",Pasig City,City of Pasig,PH137403000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
544,Qimonda I.T. Center,IT Center,Not Yet Operating,"Don Serging Avenue, North Reclamation Area, Cebu City, Cebu",Cebu City,Cebu City,PH072217000,Cebu,PH072200000,Region VII,PH070000000
545,Quezon Techno-Industrial Special Economic Zone,Manufacturing,Not Yet Operating,"Barangay Rosario and San Jose, 
Mauban, Quezon
",Mauban,Mauban,PH045627000,Quezon,PH045600000,Region IV-A,PH040000000
546,Rapu-Rapu Ecozone,Manufacturing,Not Yet Operating,"Malobago and Pagcolbon, Rapu-Rapu, Albay",Rapu-Rapu,Rapu-Rapu,PH050515000,Albay,PH050500000,Region V,PH050000000
547,Reliance I.T. Center ,IT Center,Not Yet Operating,"99 E. Rodriguez Jr., Barrio Ugong, Pasig City",Pasig City,City of Pasig,PH137403000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
548,Republic Wakepark,Tourism,Not Yet Operating,"Nuvali Development Complex, Barangay Canlubang, Calamba City, Laguna",Calamba City,City of Calamba,PH043405000,Laguna,PH043400000,Region IV-A,PH040000000
549,Riverbank Center ICT Bldg I,IT Center,Not Yet Operating,"A. Bonifacio Ave.,  Barangka, Marikina City",Marikina City,City of Marikina,PH137402000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
550,Riverbank Center ICT Bldg II,IT Center,Not Yet Operating,"A. Bonifacio Ave.,  Barangka, Marikina City",Marikina City,City of Marikina,PH137402000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
551,RLC Special Economic Zone,Manufacturing,Not Yet Operating,"Simlong, Batangas City, Batangas ",Batangas City,Batangas City,PH041005000,Batangas,PH041000000,Region IV-A,PH040000000
552,Robinsons Cagayan de Oro ,IT Center,Not Yet Operating,"Rosario Crescent corner Florentino Street, Limketkai Center, Cagayan de Oro City ",Limketkai Center,Cagayan de Oro City,PH104305000,Misamis Oriental,PH104300000,Region X,PH100000000
553,Robinsons Cybergate Magnolia,IT Center,Not Yet Operating,"Aurora Boulevard corner Doña Hemady Street, Quezon City ",Quezon City,Quezon City,PH137404000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
554,Robinsons Cyberpark Bacolod,IT Center,Not Yet Operating,"Lacson Street, Mandalagan, Bacolod City",Bacolod City,Bacolod City,PH064501000,Negros Occidental,PH064500000,Region VI,PH060000000
555,Robinsons Place Iloilo ,IT Center,Not Yet Operating,"Ledesma Street, Iloilo City",Iloilo City,Iloilo City,PH063022000,Iloilo,PH063000000,Region VI,PH060000000
556,Robinsons Starmills Pampanga,IT Center,Not Yet Operating,"Olongapo-Gapan Road, Brgy. San Jose, San Fernando City, Pampanga",San Fernando City,San Fernando,PH175913000,Romblon,PH175900000,Region IV-B,PH170000000
557,Samal Casino Resort,Manufacturing,Not Yet Operating,"San Isidro and Libertad, Kaputian,  Samal City, Davao Del Norte",Samal City,Samal,PH030812000,Bataan,PH030800000,Region III,PH030000000
